pincode,status,is_prime,state
202141,Serviceable,false,
202142,Serviceable,false,
202143,Serviceable,false,
202144,Serviceable,false,
202145,Serviceable,false,
202150,Serviceable,false,
202151,Serviceable,false,
202155,Serviceable,false,
202165,Serviceable,false,
202170,Serviceable,false,
202171,Serviceable,false,
202280,Serviceable,false,
202281,Serviceable,false,
202282,Serviceable,false,
202308,Serviceable,false,
202389,Serviceable,false,
202391,Serviceable,false,
202392,Serviceable,false,
202396,Serviceable,false,
202397,Serviceable,false,
202399,Serviceable,false,
202410,Serviceable,false,
202413,Serviceable,false,
202414,Serviceable,false,
202415,Serviceable,false,
202421,Serviceable,false,
202521,Serviceable,false,
202525,Serviceable,false,
202527,Serviceable,false,
203001,Serviceable,false,
203002,Serviceable,false,
203129,Serviceable,false,
203131,Serviceable,false,
203132,Serviceable,false,
203141,Serviceable,false,
203150,Serviceable,false,
203202,Serviceable,false,
203207,Serviceable,false,
203390,Serviceable,false,
203392,Serviceable,false,
203396,Serviceable,false,
203399,Serviceable,false,
203411,Serviceable,false,
204101,Serviceable,false,
204102,Serviceable,false,
204103,Serviceable,false,
204205,Serviceable,false,
204206,Serviceable,false,
204207,Serviceable,false,
204208,Serviceable,false,
204209,Serviceable,false,
204210,Serviceable,false,
204212,Serviceable,false,
204213,Serviceable,false,
204216,Serviceable,false,
205001,Serviceable,false,
205021,Serviceable,false,
205119,Serviceable,false,
205130,Serviceable,false,
205141,Serviceable,false,
205142,Serviceable,false,
205147,Serviceable,false,
205151,Serviceable,false,
205247,Serviceable,false,
205261,Serviceable,false,
205263,Serviceable,false,
205265,Serviceable,false,
205267,Serviceable,false,
205268,Serviceable,false,
205302,Serviceable,false,
205303,Serviceable,false,
205304,Serviceable,false,
206001,Serviceable,false,
206002,Serviceable,false,
206120,Serviceable,false,
206121,Serviceable,false,
206122,Serviceable,false,
206123,Serviceable,false,
206124,Serviceable,false,
206125,Serviceable,false,
206126,Serviceable,false,
206127,Serviceable,false,
206128,Serviceable,false,
206129,Serviceable,false,
206130,Serviceable,false,
206131,Serviceable,false,
206241,Serviceable,false,
206242,Serviceable,false,
206246,Serviceable,false,
